source_absolute_path,source_relative_path,scope,category,classification,disposition,size_bytes,allocated_bytes,status,windows_package_relative_path,sha256,sha256_basis,duplicate_of,note
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t1200_start.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t1200_start.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,617,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/train_t1200_start.json,8e46964d49c67ff3031a32089f38b10c6f6eed7015c066c618d9384757978182,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/best_model.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/best_model.pt,track_a,best_checkpoint,RECOMMENDED_UPLOAD,optional_package,4384736,4386816,ZIP_CRC_OK,04_best_checkpoints/track_a/phase_i_wave4_bilstm_20260913/train_t2399/best_model.pt,ab47bfadf48bfb4efc8570bd32ca75d2e4482adc47c981863dd468150f8450f7,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0025.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0025.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17537711,17539072,EXISTS,,d4a2e74e15c6f2446bd74b1df87aa48a39eaf09763009408fc5512f1a45a0571,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0050.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0050.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17538863,17539072,EXISTS,,a9e62d9e9bfb1e37af15fbdf3564de624d02042e741234d3b698a711f8fcf754,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0075.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0075.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17539951,17543168,EXISTS,,8d8a2f66ae22430393c3c9c9b8bae5944a073da8af40a3ddec6fde55616c228d,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0100.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0100.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17542255,17543168,EXISTS,,16d1ef3ca43e5bc1dfaaeb78e8863e250256c6507468ed2f58b3b72593a17e18,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0125.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0125.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17543407,17547264,EXISTS,,ee83259044303c83dc70b6b305916657ae2bd3c229fedf83c2b35614db918f59,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0150.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0150.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17544559,17547264,EXISTS,,aa32c7961e5b70708d8aff67e5885e0a08769190ff511ee0c52884b67578f336,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0175.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0175.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17545647,17547264,EXISTS,,e1f50998cdb6474313b1a81b4774960a288682c9469b225eaf9767bbaf51968c,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0200.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0200.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17546799,17547264,EXISTS,,88da7044a00451a1f37dceaee554a5476ec822f664e2880d32f5b97c3f221a24,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0225.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0225.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17547887,17551360,EXISTS,,d9b76bd95191869cbe9ae0a7f34cc2cb02d3e5edeb9cc117f90784e432180448,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0250.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0250.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17549039,17551360,EXISTS,,a390d611aa962f7c5991a0559ae3a22b798875aa77a4c336a8b5474ef5bc841e,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0275.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0275.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17550191,17551360,EXISTS,,bb8f3d460daae8ae8600bd58e419f96faaeea8a355882631f4977ebf071cf4b7,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0300.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0300.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17551343,17551360,EXISTS,,03e735ae524cfa86e7eb8a180b24eafc0148ab899b012243f0dacab1f5061620,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0325.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0325.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17552495,17555456,EXISTS,,a7e8eeaa849e6ba311243f9d73e6c99d6b53ba44ebf7c61f3e03c26aec6241e2,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0350.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0350.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17553647,17555456,EXISTS,,89fffd0826b9d7488450ae200c2ac450ef76e49052e41a2bea0574225de9a0ec,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0375.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0375.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17554799,17555456,EXISTS,,295a7bb0c2aa22cd78cbe250e32c505efb1d046a820c0c6ea55d68afd29d6f22,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0400.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0400.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17555951,17559552,EXISTS,,6f1d2a91755e088dd74501205d52fa97d8f5e3ecb2218d8374a13f41f7e69829,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0425.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0425.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17557103,17559552,EXISTS,,2dbe0723bb82cd405d95985711dcb5856fb2b919d5023db61f6e80cc1f7fd741,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0450.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0450.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17558255,17559552,EXISTS,,ec52ba74f56db4ce02b8c92b2946533aad6e1f723da0a893ab326d5111b420fd,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0475.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0475.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17559407,17559552,EXISTS,,d4911becafcecccf372d83736325207dc419bb29345918e23a36981b95638db7,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0500.pt,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/epoch_0500.pt,track_a,intermediate_checkpoint,DO_NOT_UPLOAD,retain_on_server,17560559,17563648,EXISTS,,3399dc533e4d927f090f05ec1bff96a1606a731cd23c84e7ac09c29e41662aac,previously_recorded_not_rehashed,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/run.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/run.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,5525,8192,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/train_t2399/run.json,7e19f769af6af7d54b4b1a4ecae3067b9fe3e59875eff122338e5521dd445087,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/summary.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399/summary.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,100684,102400,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/train_t2399/summary.json,93208a8df60c421d0b428f0aaa4ede984cf265b8c878e258afda27e033ad5936,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399.log,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399.log,track_a,runtime_log,DO_NOT_UPLOAD,retain_on_server,95162,98304,EXISTS,,113c6643e845c493c9e2d622c678f8236eeac6501a8ff03229e0728e30739f10,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399_exit.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399_exit.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,115,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/train_t2399_exit.json,affec3988861b9d2442a0d5a202042b3d9b7f9d22894a8deac8eec0ff87cebe0,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399_start.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/train_t2399_start.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,617,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/train_t2399_start.json,4dd006be68f4b223037a13cc749667c639040c0d0a18a91bdbe25618eeee5208,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/wave_execution.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/wave_execution.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,399254,401408,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/wave_execution.json,315537e5c3a0706117490361e999e0c405e1d39c50e8b1ba407d972b11f3aa8e,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200.log,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200.log,track_a,runtime_log,DO_NOT_UPLOAD,retain_on_server,0,0,EMPTY_NON_RESULT_FILE,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,previously_recorded_not_rehashed,outputs/benchmark_track_a_v1/phase_i_wave3_timesnet_20260913/workflow_t1200.log,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200_complete.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200_complete.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,118,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/workflow_t1200_complete.json,1c6d2e5bccc707f97aa393b8ef12ad08011ce3a2d6f65d496cb1767e6fb37967,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200_start.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t1200_start.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,211,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/workflow_t1200_start.json,d3e84dbbe00f88fb8aca1857b2d6102b104385d3512fd7cadb92d8a002bd09f2,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399.log,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399.log,track_a,runtime_log,DO_NOT_UPLOAD,retain_on_server,0,0,EMPTY_NON_RESULT_FILE,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,previously_recorded_not_rehashed,outputs/benchmark_track_a_v1/phase_i_wave3_timesnet_20260913/workflow_t1200.log,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399_complete.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399_complete.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,118,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/workflow_t2399_complete.json,8083fcfe9a7a7b2a600b03637fd3aafcfdfc4126f36d0773c20432f0622cd7be,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399_start.json,outputs/benchmark_track_a_v1/phase_i_wave4_bilstm_20260913/workflow_t2399_start.json,track_a,provenance_summary,RECOMMENDED_UPLOAD,optional_package,205,4096,JSON_READABLE,03_track_a_benchmark/phase_i_wave4_bilstm_20260913/workflow_t2399_start.json,ed17f9a2f5bcf4c8d6df5bea4a61931db9abb2368e98a23402766f747d3ad83d,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/matrix.json,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/matrix.json,track_a,metrics_metadata,MUST_UPLOAD,primary_package,403179,405504,JSON_READABLE,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/matrix.json,f549ed120a312085794d506a0765b3dcb298a5adba09e4bf8dbbe05a76753b96,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t1200.json,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t1200.json,track_a,metrics_metadata,MUST_UPLOAD,primary_package,86301,90112,JSON_READABLE,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t1200.json,bcfbca6b3cbc68a3cdf83c1bd1c0205a5b9e9fa5ca3beda8b78df3dfac7e76fb,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t2399.json,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t2399.json,track_a,metrics_metadata,MUST_UPLOAD,primary_package,86310,90112,JSON_READABLE,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t2399.json,6dc88519672289a56f4888d1828121edfce6739a469c963d8dc7927c7a17cd99,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t3598.json,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t3598.json,track_a,metrics_metadata,MUST_UPLOAD,primary_package,86315,90112,JSON_READABLE,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t3598.json,385862957501677d7d6fce3d282087aafd3dff8e348b4e6ef12ccc73fa30e960,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t4797.json,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t4797.json,track_a,metrics_metadata,MUST_UPLOAD,primary_package,86315,90112,JSON_READABLE,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/metrics_t4797.json,8bc5972447aeec2376ae862b73084139d68c58c2f3426780c3c30c35b84883e7,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t1200.npz,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t1200.npz,track_a,final_prediction,MUST_UPLOAD,primary_package,5325712,5328896,ZIP_CRC_OK,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t1200.npz,1d306f88191c723679521392229dbf77d8217d26ee8ad9327b3558327c7ce267,current_file_verified_against_record,,
/home/shanjinshuo/fno_kerr/kerr_project/outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t2399.npz,outputs/benchmark_track_a_v1/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t2399.npz,track_a,final_prediction,MUST_UPLOAD,primary_package,10630864,10633216,ZIP_CRC_OK,03_track_a_benchmark/phase_i_wave5_transformer_20260913/eval_t1200/prediction_t2399.npz,0ac051f8f2b3eeb051865752b4e03f75578f0abf35fb744ce177d0e04bbc9d1f,current_file_verified_against_record,,
